postal,name,lat,lng,province
1495,Mellery,50.5816873,4.5688539,Waals-Brabant
1495,Sart-Dames-Avelines,50.5685048,4.4917395,Waals-Brabant
1495,Tilly,50.5614355,4.5490482,Waals-Brabant
1495,Villers-La-Ville,50.5791942,4.5345409,Waals-Brabant
1500,Halle,50.7324848,4.2349129,Vlaams-Brabant
1501,Buizingen,50.741419,4.2500475,Vlaams-Brabant
1502,Lembeek,50.7140616,4.2200436,Vlaams-Brabant
1540,Herfelingen,50.7477711,4.0998655,Vlaams-Brabant
1540,Herne,50.7233164,4.0536565,Vlaams-Brabant
1541,Sint-Pieters-Kapelle,50.7070524,3.9899741,Vlaams-Brabant
1547,Bever,50.7169522,3.9406874,Vlaams-Brabant
1560,Hoeilaart,50.7674863,4.4740458,Vlaams-Brabant
1570,Galmaarden,50.7529396,3.9709478,Vlaams-Brabant
1570,Tollembeek,50.7410978,4.006775,Vlaams-Brabant
1570,Vollezele,50.7607201,4.0252744,Vlaams-Brabant
1600,Oudenaken,50.78068,4.19938,Vlaams-Brabant
1600,Sint-Laureins-Berchem,50.78681,4.19938,Vlaams-Brabant
1600,Sint-Pieters-Leeuw,50.7842441,4.242743,Vlaams-Brabant
1601,Ruisbroek,50.79035,4.29862,Vlaams-Brabant
1602,Vlezenbeek,50.80785,4.23213,Vlaams-Brabant
1620,Drogenbos,50.7875382,4.3164506,Vlaams-Brabant
1630,Linkebeek,50.7660264,4.3456087,Vlaams-Brabant
1640,Sint-Genesius-Rode,50.74594,4.35753,Vlaams-Brabant
1650,Beersel,50.7686913,4.3120069,Vlaams-Brabant
1651,Lot,50.76778,4.27707,Vlaams-Brabant
1652,Alsemberg,50.74163,4.33613,Vlaams-Brabant
1653,Dworp,50.72949,4.30109,Vlaams-Brabant
1654,Huizingen,50.74657,4.27369,Vlaams-Brabant
1670,Bogaarden,50.74,4.13632,Vlaams-Brabant
1670,Heikruis,50.73504,4.11211,Vlaams-Brabant
1670,Pepingen,50.7360287,4.1360863,Vlaams-Brabant
1671,Elingen,50.77926,4.17119,Vlaams-Brabant
1673,Beert,50.74103,4.18184,Vlaams-Brabant
1674,Bellingen,50.7408,4.15399,Vlaams-Brabant
1700,Dilbeek,50.8464512,4.2620632,Vlaams-Brabant
1700,Sint-Martens-Bodegem,50.8614672,4.2128916,Vlaams-Brabant
1700,Sint-Ulriks-Kapelle,50.8790042,4.2182047,Vlaams-Brabant
1701,Itterbeek,50.8381387,4.2500689,Vlaams-Brabant
1702,Groot-Bijgaarden,50.8719066,4.2500012,Vlaams-Brabant
1703,Schepdaal,50.8383485,4.1958272,Vlaams-Brabant
1730,Asse,50.9054755,4.2048959,Vlaams-Brabant
1730,Bekkerzeel,50.88523,4.23803,Vlaams-Brabant
1730,Kobbegem,50.90862,4.25104,Vlaams-Brabant
1730,Mollem,50.9313,4.22636,Vlaams-Brabant
1731,Relegem,50.89908,4.27702,Vlaams-Brabant
1731,Zellik,50.88449,4.27401,Vlaams-Brabant
1733,Highco Data,50.8985334,4.2185564,Vlaams-Brabant
1740,Ternat,50.8698353,4.1808317,Vlaams-Brabant
1741,Wambeek,50.8532484,4.1628356,Vlaams-Brabant
1742,Sint-Katherina-Lombeek,50.8732586,4.1559883,Vlaams-Brabant
1745,Mazenzele,50.942789,4.1711583,Vlaams-Brabant
1745,Opwijk,50.971588,4.186911,Vlaams-Brabant
1750,Gaasbeek,50.79987,4.18893,Vlaams-Brabant
1750,Lennik,50.8086929,4.161434,Vlaams-Brabant
1750,Sint-Kwintens-Lennik,50.80422,4.15481,Vlaams-Brabant
1750,Sint-Martens-Lennik,50.8127052,4.1686333,Vlaams-Brabant
1755,Gooik,50.7952811,4.1180489,Vlaams-Brabant
1755,Kester,50.76428,4.11935,Vlaams-Brabant
1755,Leerbeek,50.77787,4.11943,Vlaams-Brabant
1755,Oetingen,50.77347,4.06312,Vlaams-Brabant
1760,Onze-Lieve-Vrouw-Lombeek,50.8197588,4.1101502,Vlaams-Brabant
1760,Pamel,50.84495,4.07101,Vlaams-Brabant
1760,Roosdaal,50.8314294,4.0879776,Vlaams-Brabant
1760,Strijtem,50.8412507,4.1173658,Vlaams-Brabant
1761,Borchtlombeek,50.8475374,4.139768,Vlaams-Brabant
